,URL,Links
0,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20deep%20learning&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/media#media', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/']"
1,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20neural%20network&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10380530/', 'https://ieeexplore.ieee.org/document/10380530/', 'https://ieeexplore.ieee.org/document/10380530/', 'https://ieeexplore.ieee.org/document/10380530/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/']"
2,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20embedding&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10081356/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/']"
3,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20interpretable&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/media#media', 'https://ieeexplore.ieee.org/document/10185002/', 'https://ieeexplore.ieee.org/document/10185002/']"
4,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20autoencoders&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,[]
5,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20CNN&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,[]
6,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20convolutional&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/']"
7,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20LSTM&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/']"
8,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20long%20short-term%20memory&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,"['https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10110982/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/citations?tabFilter=papers#citations', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/', 'https://ieeexplore.ieee.org/document/10164211/']"
9,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20NLP&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1,[]
